CMD-MIJAM,CMD-MIJAM-frequency,CMD-GMWI2,CMD-GMWI2-frequency,GMHI-MIJAM,GMHI-MIJAM-frequency,GMHI-GMWI2,GMHI-GMWI2-frequency
"PWY-6992: 1,5-anhydrofructose degradation",10,s__Blautia_producta,6,PWY-7761: NAD salvage pathway II (PNC IV cycle),10,s__Anaerotruncus_colihominis,6
PWY-7003: glycerol degradation to butanol,10,s__Porphyromonas_asaccharolytica,6,PWY-7883: anhydromuropeptides recycling II,10,PWY-6595: superpathway of guanosine nucleotides degradation (plants),6
PWY-7007: methyl ketone biosynthesis,10,s__Finegoldia_magna,6,PWY-922: mevalonate pathway I,10,"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",6
PWY-7031: protein N-glycosylation (bacterial),10,s__Fusobacterium_mortiferum,6,PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,10,PWY0-781: aspartate superpathway,6
"PWY-7039: phosphatidate metabolism, as a signaling molecule",10,s__Monoglobus_pectinilyticus,6,PWY0-1479: tRNA processing,10,HISDEG-PWY: L-histidine degradation I,6
PWY-7046: 4-coumarate degradation (anaerobic),10,s__Anaerobiospirillum_thomasii,6,PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing),10,HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,6
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",10,s__Citrobacter_braakii,6,PWY0-321: phenylacetate degradation I (aerobic),10,GLUCARDEG-PWY: D-glucarate degradation I,6
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",10,s__Firmicutes_bacterium_CAG_238,6,PWY0-781: aspartate superpathway,10,s__Adlercreutzia_equolifaciens,6
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),10,s__Megasphaera_elsdenii,6,PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,10,s__Alistipes_sp_AP11,6
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,10,s__Lactobacillus_gasseri,6,PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,10,s__candidate_division_TM7_single_cell_isolate_TM7c,6
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,10,s__Eubacteriaceae_bacterium_CHKCI005,6,PWY1ZNC-1: assimilatory sulfate reduction IV,10,s__Eggerthella_lenta,6
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,10,PWY-6876: isopropanol biosynthesis,6,PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),10,s__Erysipelotrichaceae_bacterium_6_1_45,6
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,10,PWY-5005: biotin biosynthesis II,6,PWY490-3: nitrate reduction VI (assimilatory),10,s__Dorea_formicigenerans,6
